Title,,,Hazard,event_date,province,district,municipality,ward
Landslide at Temal Rural Municipality-2,,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Temal,2
"Landslide at Kolati , Panauti Municipality-12",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Panauti,12
"Landslide at Thalchowk , Banepa Municipality-14",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Banepa,14
"Landslide at Mahadevbesi Bajar , Netrawati Dabjong Rural Municipality-1",,,Landslide,27/09/2024,Bagmati,Dhading,Netrawati Dabjong,1
Landslide at Konjyosom Rural Municipality-4,,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Chunkhel , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Keuripani , Suryagadhi Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Jyamire, Gokulganga Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Ramechhap,Gokulganga,4
Landslide at Jugal Rural Municipality-2,,,Landslide,27/09/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Tekar , Makawanpurgadhi Rural Municipality-5",,,Landslide,27/09/2024,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Khatrigaau , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Shyampati , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Mathillo Gotikhel , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Talim Kendra , Lalitpur Metropolitan City-25",,,Landslide,27/09/2024,Bagmati,Lalitpur,Lalitpur,25
Landslide at Konjyosom Rural Municipality-4,,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Baphal , Jugal Rural Municipality-2",,,Landslide,27/09/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Gundu Dhobikhola , Bhaktapur Municipality-9",,,Landslide,27/09/2024,Bagmati,Bhaktapur,Bhaktapur,9
"Landslide at Lekhpandrang , Makawanpurgadhi Rural Municipality-5",,,Landslide,27/09/2024,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Masine , Kageshwori Manahora Municipality-9",,,Landslide,27/09/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Thare , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Larcha , Jugal Rural Municipality-2",,,Landslide,27/09/2024,Bagmati,Sindhupalchok,Jugal,2
Landslide at Banepa Municipality-10,,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Banepa,10
"Landslide at Nepalthok , Kamalamai Municipality-5",,,Landslide,27/09/2024,Bagmati,Sindhuli,Kamalamai,5
"Landslide at Darimbot, Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Jhyaplekhola , Netrawati Dabjong Rural Municipality-1",,,Landslide,27/09/2024,Bagmati,Dhading,Netrawati Dabjong,1
Landslide at Bigu Rural Municipality-1,,,Landslide,27/09/2024,Bagmati,Dolakha,Bigu,1
"Landslide at Lamabagar , Bigu Rural Municipality-1",,,Landslide,27/09/2024,Bagmati,Dolakha,Bigu,1
"Landslide at Singe , Panauti Municipality-1",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Panauti,1
Landslide at Mandandeupur Municipality-10,,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Mandandeupur,10
Landslide at Dhulikhel Municipality-10,,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Dhulikhel,10
"Landslide at Bohore , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Makkhu Besi , Kageshwori Manahora Municipality-9",,,Landslide,27/09/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Talku , Kageshwori Manahora Municipality-9",,,Landslide,27/09/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Sisneri Thakurigaau , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Pale Tole , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Aashapuri Naichal , Bhaktapur Municipality-9",,,Landslide,27/09/2024,Bagmati,Bhaktapur,Bhaktapur,9
"Landslide at Ikshyangunarayan Temple , Kageshwori Manahora Municipality-9",,,Landslide,27/09/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Bhusel , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Lele, Godawari_Lalitpur Municipality-5",,,Landslide,27/09/2024,Bagmati,Lalitpur,Godawari_Lalitpur,5
"Landslide at Neupane Gaau , Godawari_Lalitpur Municipality-10",,,Landslide,27/09/2024,Bagmati,Lalitpur,Godawari_Lalitpur,10
"Landslide at Dalchouki , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Sakhadevi Nepal Chowk , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Tikabhairab , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Devichaur , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Ghartigaau , Netrawati Dabjong Rural Municipality-1",,,Landslide,27/09/2024,Bagmati,Dhading,Netrawati Dabjong,1
