event_id,event_date,latitude,longitude
6571,8/31/2011 0:00,28.6572,82.2345
2399,9/6/2010,27.8143,85.8315
7090,4/25/2015 0:00,28.2064,85.575
657,7/22/2008 0:00,27.6,87.24
7113,4/28/2015 15:00,27.7908,84.4783
3921,8/14/2011 0:00,29.2385,81.7285
2286,8/19/2010 23:00,28.0276,83.3164
6514,8/15/2014 0:00,28.0081,84.6476
9273,6/4/2016,29.3038,80.6581
2089,7/16/2010 23:00,28.4197,83.1421
3934,8/19/2011 0:00,28.2719,83.7405
5469,9/6/2013,26.9318,87.3201
3928,8/16/2011 0:00,29.2027,80.5307
9556,9/28/2016 0:00,28.3131,84.9895
752,8/27/2008 0:00,29.2,81.7
5168,7/22/2013 0:00,27.7713,86.166
9526,10/1/2016,27.7759,85.8701
1104,8/19/2009 0:00,26.8042,88.125
2285,8/19/2010 23:00,27.7592,82.6335
205,8/24/2007 0:00,28.0877,83.0971
3717,7/3/2011,27.26132994,86.77220558
689,8/6/2008,29.428,81.28
5471,9/6/2013,26.8988,87.2773
2919,12/30/2010 9:00,29.7415,81.2467
6051,6/7/2014,29.5442,81.6254
116,7/5/2007,28.1952,83.6099
7615,8/8/2015,27.7185,83.47
6138,7/13/2014 0:00,27.9411,85.6838
8911,7/7/2016,27.7009,86.726
3875,8/3/2011,28.7014,82.6513
6227,8/16/2014 0:00,28.61209203,81.64645269
9246,7/29/2016 0:00,29.8825,81.2603
227,9/3/2007,27.3258,86.087
1369,12/23/2009 0:00,29.48,80.94
9260,7/29/2016 0:00,27.3027,86.5079
245,9/7/2007,27.5964,85.1114
5447,9/3/2013,28.4505,83.342
9605,10/13/2016 0:00,26.8772,87.3215
3938,8/22/2011 0:00,28.3594,82.1279
4938,6/17/2013 0:00,29.0508,81.3
7081,7/5/2015,27.0483,86.3248
3923,8/14/2011 0:00,29.139,81.773
9327,5/20/2016 9:00,27.8187,85.7734
9521,10/3/2016,28.0461,83.2627
6521,8/10/2014,28.6792,82.6789
5166,7/22/2013 0:00,28.3341,83.4966
788,9/12/2008,27.7167,85.15
9683,7/3/2011,27.21819015,86.91913823
6557,8/29/2014 9:00,27.8315,85.1638
2311,8/22/2010 9:00,27.9937,82.4827
1370,12/26/2009 0:00,27.7211,83.4692
6520,8/14/2014 0:00,28.9429,82.3354
282,9/26/2007 0:00,28.4167,83.6667
630,7/6/2008,27.92,85.19
2374,9/2/2010,27.7745,85.2401
7099,5/3/2015,27.8287,85.5763
6173,7/22/2014 0:00,27.9995,84.6333
749,8/26/2008 0:00,28.278,84.35
6461,8/8/2014,28.2045,84.7387
233,9/5/2007,27.7667,85.7
2373,9/2/2010,27.7838,85.8369
6645,4/25/2014 13:00,28.3511,84.1176
5165,7/22/2013 0:00,27.9687,83.9066
3778,7/15/2011 18:00,27.9512,85.6846
9269,8/1/2016,27.805,84.9005
4911,6/10/2013,28.3952,83.5043
2434,9/15/2010 0:00,27.8808,83.3395
2572,10/8/2010,27.6291,87.9436
3699,7/2/2011,27.9654,84.4107
9126,7/20/2016 15:00,28.6019,83.3378
606,6/24/2008 0:00,28.18,85.11
6812,3/3/2015,30.1818,81.4392
3964,9/5/2011,28.7773,82.4728
5160,7/22/2013 0:00,27.8686,83.6606
716,8/14/2008 0:00,27.795,84.432
6159,7/18/2014 0:00,27.9639,84.8981
768,8/31/2008 0:00,27.4385,87.0898
3698,7/2/2011,27.9507,84.415
2328,8/24/2010 0:00,27.1303,87.8711
681,7/31/2008 0:00,28.7236,82.1515
4955,6/18/2013 0:00,27.8595,83.7711
1175,9/19/2009 23:00,27.425,87.0569
7058,5/12/2015,27.7368,86.1636
206,8/24/2007 0:00,28.6167,82.6167
4350,5/5/2012,28.524,84.0095
5076,7/10/2013,27.62,86.84
9053,6/16/2016 0:00,27.9869,84.2765
4910,6/10/2013,28.376,83.4946
6459,8/4/2014,27.4083,87.2739
9295,7/31/2016 0:00,27.1748,86.775
9261,7/31/2016 0:00,28.0095,83.8669
