S.No.,district,municipality,ward,Incident Place,event_date,Incident,,,,,,,,
169,Panchthar,Amarpur,,,24/07/2012,Landslide,,,,,,,,
170,Taplejung,-,,,28/07/2012,Landslide,,,,,,,,
171,Taplejung,-,,,28/07/2012,Landslide,,,,,,,,
172,Taplejung,-,,,28/07/2012,Landslide,,,,,,,,
173,Taplejung,Sablakhu,,,29/07/2012,Landslide,,,,,,,,
174,Nuwakot,Duipipal,,,1/8/2012,Landslide,,,,,,,,
175,Gulmi,-,,,3/8/2012,Landslide,,,,,,,,
176,Baglung,Boharagaun,,,3/8/2012,Landslide,,,,,,,,
177,Manang,Dharapani,,,3/8/2012,Landslide,,,,,,,,
178,Dolakha,Bhirkot,,,5/8/2012,Landslide,,,,,,,,
179,Nuwakot,Narjamandap,,,8/8/2012,Landslide,,,,,,,,
180,Nuwakot,Bidur,,,8/8/2012,Landslide,,,,,,,,
181,Kavrepalanchowk,Panchkhal,,,13/08/2012,Landslide,,,,,,,,
182,Bajura,-,,,15/08/2012,Landslide,,,,,,,,
183,Nuwakot,Madanpur,,,17/08/2012,Landslide,,,,,,,,
184,Nuwakot,MANAKAMANA,,,17/08/2012,Landslide,,,,,,,,
185,Nuwakot,-,,,18/08/2012,Landslide,,,,,,,,
186,Nuwakot,Madanpur,,,18/08/2012,Landslide,,,,,,,,
187,Humla,-,,,19/08/2012,Landslide,,,,,,,,
188,Humla,-,,,19/08/2012,Landslide,,,,,,,,
189,Humla,-,,,19/08/2012,Landslide,,,,,,,,
190,Nuwakot,-,,,20/08/2012,Landslide,,,,,,,,
191,Humla,Rodikot,,,21/08/2012,Landslide,,,,,,,,
192,Nuwakot,Belkot,,,21/08/2012,Landslide,,,,,,,,
193,Humla,Limi,,,22/08/2012,Landslide,,,,,,,,
194,Nuwakot,Ratmate,,,24/08/2012,Landslide,,,,,,,,
195,Shankhuwasabha,-,,,25/08/2012,Landslide,,,,,,,,
196,Nuwakot,Chaturale,,,26/08/2012,Landslide,,,,,,,,
197,Nuwakot,Duipipal,,,27/08/2012,Landslide,,,,,,,,
198,Nuwakot,Duipipal,,,27/08/2012,Landslide,,,,,,,,
199,Nuwakot,Belkot,,,27/08/2012,Landslide,,,,,,,,
200,Nuwakot,Belkot,,,27/08/2012,Landslide,,,,,,,,
201,Nuwakot,Madanpur,,,27/08/2012,Landslide,,,,,,,,
202,Nuwakot,-,,,27/08/2012,Landslide,,,,,,,,
203,Nuwakot,Thansing,,,29/08/2012,Landslide,,,,,,,,
204,Nuwakot,Chaturale,,,29/08/2012,Landslide,,,,,,,,
205,Nuwakot,Chaturale,,,29/08/2012,Landslide,,,,,,,,
206,Rasuwa,-,,,29/08/2012,Landslide,,,,,,,,
207,Myagdi,-,,,30/08/2012,Landslide,,,,,,,,
208,Kaski,Sarangkot,,,30/08/2012,Landslide,,,,,,,,
209,Nuwakot,Chaturale,,,30/08/2012,Landslide,,,,,,,,
210,Nuwakot,Madanpur,,,30/08/2012,Landslide,,,,,,,,
211,Nuwakot,Madanpur,,,30/08/2012,Landslide,,,,,,,,
212,Nuwakot,Madanpur,,,30/08/2012,Landslide,,,,,,,,
213,Nuwakot,-,,,30/08/2012,Landslide,,,,,,,,
214,Nuwakot,-,,,1/9/2012,Landslide,,,,,,,,
215,Bajhang,-,,,4/9/2012,Landslide,,,,,,,,
216,Jajarkot,-,,,5/9/2012,Landslide,,,,,,,,
217,Nuwakot,Madanpur,,,5/9/2012,Landslide,,,,,,,,
218,Nuwakot,-,,,8/9/2012,Landslide,,,,,,,,
219,Nuwakot,Samundratar,,,12/9/2012,Landslide,,,,,,,,
220,Taplejung,Tapethok,,,18/09/2012,Landslide,,,,,,,,
221,Dadeldhura,-,,,19/09/2012,Landslide,,,,,,,,
222,Nuwakot,Okharpauwa,,,20/09/2012,Landslide,,,,,,,,
223,Ilam,Kolbung,,,30/09/2012,Landslide,,,,,,,,
224,Shankhuwasabha,-,,,1/10/2012,Landslide,,,,,,,,
225,Surkhet,Betan,,,2/10/2012,Landslide,,,,,,,,
226,Shankhuwasabha,-,,,2/10/2012,Landslide,,,,,,,,
227,Nuwakot,Gerkhu,,,4/10/2012,Landslide,,,,,,,,
228,Dolakha,Marbu,,,29/12/2012,Landslide,,,,,,,,
229,Jajarkot,Khalanga,,,21/02/2013,Landslide,,,,,,,,
230,Jumla,-,,,14/03/2013,Landslide,,,,,,,,
231,Parbat,Deupur,,,23/03/2013,Landslide,,,,,,,,
232,Kathmandu,Maharajgunj,,,31/05/2013,Landslide,,,,,,,,
233,Dhankuta,Mahabharat,,,5/6/2013,Landslide,,,,,,,,
234,Taplejung,-,,,5/6/2013,Landslide,,,,,,,,
235,Ilam,-,,,7/6/2013,Landslide,,,,,,,,
236,Sindhupalchowk,-,,,11/6/2013,Landslide,,,,,,,,
237,Humla,Muchu,,,16/06/2013,Landslide,,,,,,,,
238,Kanchanpur,-,,,17/06/2013,Landslide,,,,,,,,
239,Achhaam,-,,,17/06/2013,Landslide,,,,,,,,
240,Pyuthan,-,,,17/06/2013,Landslide,,,,,,,,
241,Mustang,KAGBENI,,,17/06/2013,Landslide,,,,,,,,
242,Baitadi,Siddheshwor,,,18/06/2013,Landslide,,,,,,,,
243,Achhaam,Kuntibandali,,,18/06/2013,Landslide,,,,,,,,
244,Achhaam,-,,,18/06/2013,Landslide,,,,,,,,
245,Bajhang,Kaphalseri,,,18/06/2013,Landslide,,,,,,,,
246,Dailekh,Malika,,,18/06/2013,Landslide,,,,,,,,
247,Gulmi,Simichaur,,,18/06/2013,Landslide,,,,,,,,
248,Gulmi,-,,,18/06/2013,Landslide,,,,,,,,
249,Palpa,Birkot,,,18/06/2013,Landslide,,,,,,,,
250,Baglung,-,,,18/06/2013,Landslide,,,,,,,,
251,Doti,Kadamandu,,,19/06/2013,Landslide,,,,,,,,
252,Kalikot,Thirpu,,,19/06/2013,Landslide,,,,,,,,
253,Tanahu,-,,,20/06/2013,Landslide,,,,,,,,
254,Okhaldhunga,Okhaldhunga,,,23/06/2013,Landslide,,,,,,,,
255,Dolpa,Pahada,,,26/06/2013,Landslide,,,,,,,,
256,Rolpa,Ota,,,26/06/2013,Landslide,,,,,,,,
257,Kalikot,Bharta,,,27/06/2013,Landslide,,,,,,,,
258,Rolpa,Jugar,,,27/06/2013,Landslide,,,,,,,,
259,Sindhupalchowk,Tatopani,,,27/06/2013,Landslide,,,,,,,,
260,Taplejung,Ikhabu,,,29/06/2013,Landslide,,,,,,,,
261,Darchula,Chhapari,,,30/06/2013,Landslide,,,,,,,,
262,Tanahu,Baidi,,,9/7/2013,Landslide,,,,,,,,
263,Dhankuta,Dhankuta,,,9/7/2013,Landslide,,,,,,,,
264,Pyuthan,Libang,,,11/7/2013,Landslide,,,,,,,,
265,Gulmi,Ruru,,,11/7/2013,Landslide,,,,,,,,
266,Palpa,-,,,11/7/2013,Landslide,,,,,,,,
267,Myagdi,Pulachaur,,,11/7/2013,Landslide,,,,,,,,
268,Bhaktapur,-,,,12/7/2013,Landslide,,,,,,,,
269,Parbat,-,,,13/07/2013,Landslide,,,,,,,,
270,Bhaktapur,Sudal,,,13/07/2013,Landslide,,,,,,,,
271,Shankhuwasabha,-,,,14/07/2013,Landslide,,,,,,,,
272,Salyan,Dhanbang,,,15/07/2013,Landslide,,,,,,,,
273,Pyuthan,Bhingri,,,17/07/2013,Landslide,,,,,,,,
274,Parbat,Bhorle,,,19/07/2013,Landslide,,,,,,,,
275,Taplejung,-,,,19/07/2013,Landslide,,,,,,,,
276,Taplejung,-,,,19/07/2013,Landslide,,,,,,,,
277,Pyuthan,-,,,20/07/2013,Landslide,,,,,,,,
